"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"region, zone";"Abalathia's Spine";"Abalathia";"Abalathia (nombre transcrito)";"Espinazo de Abalathia";"Cordillera de Abalathia";"Dorsal de Abalathia";"Abalathia";"";"";"アバラシア";"PlaceName#497.0,PlaceName#510.0";"map,marker,region,zone"
"region, zone";"The Black Shroud";"Forêt de Sombrelinceul / Sombrelinceul";"Bosque de la Vestidura Negra";"Sudario Negro";"Bosque del Sudario Negro";"Bosque Umbrío";"El Bosque del Velo Negro";"El Bosque del Velo Negro";"Decidir junto con Central/East/South/North Shroud.";"黒衣森";"PlaceName#23.0,PlaceName#507.0";"map,marker,region,zone"
"region";"The First";"Premier reflet";"Primer mundo";"Primer Reflejo";"El Primero";"";"El Primero";"";"Coordinar con The Source y los demás reflejos.";"第一世界";"PlaceName#3701.0";"map,region"
"region";"The High Seas";"Pleine mer";"Pesca Oceánica (inglés transcrito)";"Alta Mar";"Mar Abierto";"";"Alta Mar";"";"";"オーシャンフィッシング";"PlaceName#3443.0";"region"
"region";"The Northern Empty";"Mers du Nord";"Región de los mares del norte";"Vacío del Norte";"Mares del Norte";"Mar Septentrional";"Vacío del Norte";"";"";"北洋地域";"PlaceName#3702.0";"map,marker,region"
"region, zone";"The Sea of Stars";"Espace intersidéral";"Fuera del astro / espacio exterior al astro";"Mar de Estrellas";"Mar Estelar";"";"Mar de Estrellas";"";"";"星外 / 星外宙域";"PlaceName#3704.0,PlaceName#3742.0";"map,marker,region,zone"
"region";"The Source";"L'Origine / Monde primitif";"Mundo primordial / lago del comienzo";"Mundo Primordial";"El Origen";"La Fuente";"La Fuente";"el Origen";"Nombre compartido por el mundo y un lago. Puede requerir decisiones distintas por gameKey.";"原初世界 / 始まりの湖";"PlaceName#3039.0,PlaceName#3294.0,PlaceName#3700.0";"map,marker,region"
"region, zone";"The World Unsundered";"Ancien monde";"Mundo antiguo";"Mundo Indiviso";"Mundo sin Escindir";"Mundo Ancestral";"Mundo sin Escindir";"";"";"古代世界";"PlaceName#3705.0,PlaceName#3743.0";"map,marker,region,zone"
"region, zone";"Unlost World";"Monde inéphémère";"Mundo No Perdido (inglés transcrito)";"Mundo Imperecedero";"Mundo Recobrado";"Mundo imperdido";"Mundo Imperecedero";"el mundo imperdido";"Las alternativas difieren en el matiz de unlost; el japonés transcribe el inglés.";"アンロスト・ワールド";"PlaceName#4502.0,PlaceName#4513.0";"map,marker,region,zone"
"territory, zone";"Idyllshire";"Idyllée";"Idyllshire (nombre transcrito)";"Idilia";"Idyllshire";"";"Idilia";"";"";"イディルシャイア";"PlaceName#2082.0,PlaceName#4136.0";"aetheryte,map,marker,territory,zone"
